version,dataset,patch_size,blocks,threads,time
./bin/v1,./data/noise_image_lena_const.txt,5,2048,32,1.148040
./bin/v1,./data/noise_image_lena_const.txt,5,2048,64,1.275898
./bin/v1,./data/noise_image_lena_const.txt,5,2048,128,1.221436
./bin/v1,./data/noise_image_lena_const.txt,5,2048,256,1.222318
./bin/v1,./data/noise_image_lena_const.txt,5,2048,512,1.450525
./bin/v1,./data/noise_image_lena_const.txt,5,2048,1024,2.608924
./bin/v1,./data/noise_image_lena_const.txt,5,2048,2048,0.005022
./bin/v1,./data/noise_image_lena_const.txt,5,4094,32,1.167704
./bin/v1,./data/noise_image_lena_const.txt,5,4094,64,1.282656
./bin/v1,./data/noise_image_lena_const.txt,5,4094,128,1.230012
./bin/v1,./data/noise_image_lena_const.txt,5,4094,256,1.210082
./bin/v1,./data/noise_image_lena_const.txt,5,4094,512,1.462188
./bin/v1,./data/noise_image_lena_const.txt,5,4094,1024,2.589009
./bin/v1,./data/noise_image_lena_const.txt,5,4094,2048,0.004967
./bin/v1,./data/noise_image_lena_const.txt,7,16,32,13.314028
./bin/v1,./data/noise_image_lena_const.txt,7,16,64,7.598843
./bin/v1,./data/noise_image_lena_const.txt,7,16,128,4.930662
./bin/v1,./data/noise_image_lena_const.txt,7,16,256,4.566801
./bin/v1,./data/noise_image_lena_const.txt,7,16,512,5.798159
./bin/v1,./data/noise_image_lena_const.txt,7,16,1024,9.093524
./bin/v1,./data/noise_image_lena_const.txt,7,16,2048,0.008430
./bin/v1,./data/noise_image_lena_const.txt,7,32,32,6.666405
./bin/v1,./data/noise_image_lena_const.txt,7,32,64,3.774131
./bin/v1,./data/noise_image_lena_const.txt,7,32,128,3.118059
./bin/v1,./data/noise_image_lena_const.txt,7,32,256,3.254714
./bin/v1,./data/noise_image_lena_const.txt,7,32,512,5.079593
./bin/v1,./data/noise_image_lena_const.txt,7,32,1024,12.861807
./bin/v1,./data/noise_image_lena_const.txt,7,32,2048,0.008503
./bin/v1,./data/noise_image_lena_const.txt,7,64,32,3.836503
./bin/v1,./data/noise_image_lena_const.txt,7,64,64,3.176230
./bin/v1,./data/noise_image_lena_const.txt,7,64,128,3.280233
./bin/v1,./data/noise_image_lena_const.txt,7,64,256,3.867371
./bin/v1,./data/noise_image_lena_const.txt,7,64,512,6.860324
./bin/v1,./data/noise_image_lena_const.txt,7,64,1024,15.247405
./bin/v1,./data/noise_image_lena_const.txt,7,64,2048,0.008787
./bin/v1,./data/noise_image_lena_const.txt,7,128,32,3.114579
./bin/v1,./data/noise_image_lena_const.txt,7,128,64,3.360659
./bin/v1,./data/noise_image_lena_const.txt,7,128,128,3.642445
./bin/v1,./data/noise_image_lena_const.txt,7,128,256,4.717471
./bin/v1,./data/noise_image_lena_const.txt,7,128,512,8.120345
./bin/v1,./data/noise_image_lena_const.txt,7,128,1024,15.416040
./bin/v1,./data/noise_image_lena_const.txt,7,128,2048,0.008681
./bin/v1,./data/noise_image_lena_const.txt,7,256,32,3.102923
./bin/v1,./data/noise_image_lena_const.txt,7,256,64,3.433703
./bin/v1,./data/noise_image_lena_const.txt,7,256,128,4.255453
./bin/v1,./data/noise_image_lena_const.txt,7,256,256,5.331422
./bin/v1,./data/noise_image_lena_const.txt,7,256,512,7.840186
./bin/v1,./data/noise_image_lena_const.txt,7,256,1024,15.417830
./bin/v1,./data/noise_image_lena_const.txt,7,256,2048,0.008605
./bin/v1,./data/noise_image_lena_const.txt,7,512,32,3.519700
./bin/v1,./data/noise_image_lena_const.txt,7,512,64,4.163033
./bin/v1,./data/noise_image_lena_const.txt,7,512,128,5.037702
./bin/v1,./data/noise_image_lena_const.txt,7,512,256,5.400994
./bin/v1,./data/noise_image_lena_const.txt,7,512,512,8.269953
./bin/v1,./data/noise_image_lena_const.txt,7,512,1024,15.421332
./bin/v1,./data/noise_image_lena_const.txt,7,512,2048,0.008510
./bin/v1,./data/noise_image_lena_const.txt,7,1024,32,3.920904
./bin/v1,./data/noise_image_lena_const.txt,7,1024,64,5.030813
./bin/v1,./data/noise_image_lena_const.txt,7,1024,128,5.197616
./bin/v1,./data/noise_image_lena_const.txt,7,1024,256,5.371918
./bin/v1,./data/noise_image_lena_const.txt,7,1024,512,8.258634
./bin/v1,./data/noise_image_lena_const.txt,7,1024,1024,15.442799
./bin/v1,./data/noise_image_lena_const.txt,7,1024,2048,0.008561
./bin/v1,./data/noise_image_lena_const.txt,7,2048,32,3.842376
./bin/v1,./data/noise_image_lena_const.txt,7,2048,64,5.234345
./bin/v1,./data/noise_image_lena_const.txt,7,2048,128,5.206634
./bin/v1,./data/noise_image_lena_const.txt,7,2048,256,5.380774
./bin/v1,./data/noise_image_lena_const.txt,7,2048,512,8.245863
./bin/v1,./data/noise_image_lena_const.txt,7,2048,1024,15.433212
./bin/v1,./data/noise_image_lena_const.txt,7,2048,2048,0.008630
./bin/v1,./data/noise_image_lena_const.txt,7,4094,32,3.845258
./bin/v1,./data/noise_image_lena_const.txt,7,4094,64,5.250179
./bin/v1,./data/noise_image_lena_const.txt,7,4094,128,5.211737
./bin/v1,./data/noise_image_lena_const.txt,7,4094,256,5.385635
./bin/v1,./data/noise_image_lena_const.txt,7,4094,512,7.891679
./bin/v1,./data/noise_image_lena_const.txt,7,4094,1024,15.370976
./bin/v1,./data/noise_image_lena_const.txt,7,4094,2048,0.008542
./bin/v1,./data/noise_image_tulips_const.txt,3,16,32,0.222773
./bin/v1,./data/noise_image_tulips_const.txt,3,16,64,0.114736
./bin/v1,./data/noise_image_tulips_const.txt,3,16,128,0.060712
./bin/v1,./data/noise_image_tulips_const.txt,3,16,256,0.033368
./bin/v1,./data/noise_image_tulips_const.txt,3,16,512,0.019937
./bin/v1,./data/noise_image_tulips_const.txt,3,16,1024,0.019934
./bin/v1,./data/noise_image_tulips_const.txt,3,16,2048,0.000820
./bin/v1,./data/noise_image_tulips_const.txt,3,32,32,0.112198
./bin/v1,./data/noise_image_tulips_const.txt,3,32,64,0.058163
./bin/v1,./data/noise_image_tulips_const.txt,3,32,128,0.031397
./bin/v1,./data/noise_image_tulips_const.txt,3,32,256,0.017605
./bin/v1,./data/noise_image_tulips_const.txt,3,32,512,0.014046
./bin/v1,./data/noise_image_tulips_const.txt,3,32,1024,0.020012
./bin/v1,./data/noise_image_tulips_const.txt,3,32,2048,0.001580
./bin/v1,./data/noise_image_tulips_const.txt,3,64,32,0.058177
./bin/v1,./data/noise_image_tulips_const.txt,3,64,64,0.031316
./bin/v1,./data/noise_image_tulips_const.txt,3,64,128,0.017407
./bin/v1,./data/noise_image_tulips_const.txt,3,64,256,0.014830
./bin/v1,./data/noise_image_tulips_const.txt,3,64,512,0.017657
./bin/v1,./data/noise_image_tulips_const.txt,3,64,1024,0.027345
./bin/v1,./data/noise_image_tulips_const.txt,3,64,2048,0.000812
./bin/v1,./data/noise_image_tulips_const.txt,3,128,32,0.048293
